"","LPSN_ID","FAPROTAX2_Type_of_metabolism"
"258","772591","aerobic_chemoheterotrophy;chemoheterotrophy"
"259","22602","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"260","783273","aerobic_chemoheterotrophy;chemoheterotrophy"
"261","772593","methanol_oxidation;methylotrophy;aerobic_chemoheterotrophy;chemoheterotrophy"
"262","772594","cellulolysis;xylanolysis;aerobic_chemoheterotrophy;chemoheterotrophy"
"263","772595","cellulolysis;aerobic_chemoheterotrophy;plant_pathogen;chemoheterotrophy"
"264","783274","aerobic_chemoheterotrophy;plant_pathogen;plastic_degradation;chemoheterotrophy"
"265","772599","aerobic_chemoheterotrophy;chemoheterotrophy"
"266","772600","nitrate_denitrification;nitrite_denitrification;knallgas_bacteria;dark_hydrogen_oxidation;nitrite_respiration;gelatin_degradation;aerobic_chemoheterotrophy;aromatic_hydrocarbon_degradation;aromatic_compound_degradation;hydrocarbon_degradation;nitrate_respiration;nitrate_reduction;nitrogen_respiration;plastic_degradation;lactate_oxidation;chemoheterotrophy"
"267",NA,"dark_iron_oxidation;iron_oxidation"
"268","772601","dark_hydrogen_oxidation;aerobic_chemoheterotrophy;plastic_degradation;chemoheterotrophy"
"269","772603","aerobic_chemoheterotrophy;plant_pathogen;chemoheterotrophy"
"270","788914","plastic_degradation"
"271","772607","nitrate_denitrification;nitrite_denitrification;nitrite_respiration;aerobic_chemoheterotrophy;oil_bioremediation;nitrate_respiration;nitrate_reduction;nitrogen_respiration;chemoheterotrophy"
"272","772608","plant_pathogen"
"273",NA,"chemoheterotrophy;obligate_anaerobes;sulfur_reduction"
"274","793499","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"275",NA,"fermentation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"276","792253","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;chemoheterotrophy"
"277","772610","aerobic_chemoheterotrophy;human_pathogens_septicemia;human_pathogens_pneumonia;human_pathogens_nosocomia;human_pathogens_all;human_associated;animal_parasites_or_symbionts;oil_bioremediation;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;plastic_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"278","772611","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"279","787668","aerobic_chemoheterotrophy;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;chemoheterotrophy"
"280","788443","aerobic_chemoheterotrophy;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;chemoheterotrophy"
"281","792450","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"282","790644","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;chemoheterotrophy"
"283","772612","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;chemoheterotrophy"
"284","785346","aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"285","772613","aerobic_chemoheterotrophy;human_pathogens_nosocomia;human_pathogens_all;human_associated;animal_parasites_or_symbionts;oil_bioremediation;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;plastic_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"286","794966","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"287","794035","gelatin_degradation;aerobic_chemoheterotrophy;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"288","795456","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"289","793856","aerobic_chemoheterotrophy;mammal_gut;animal_parasites_or_symbionts;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;nitrate_reduction;chemoheterotrophy"
"290","792373","aerobic_chemoheterotrophy;mammal_gut;animal_parasites_or_symbionts;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;lactate_oxidation;chemoheterotrophy"
"291","772616","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;plastic_degradation;chemoheterotrophy"
"292","788442","aerobic_chemoheterotrophy;human_gut;human_associated;mammal_gut;animal_parasites_or_symbionts;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"293","787669","gelatin_degradation;aerobic_chemoheterotrophy;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"294","772618","gelatin_degradation;aerobic_chemoheterotrophy;human_associated;oil_bioremediation;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;chemoheterotrophy"
"295","795767","gelatin_degradation;aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;chemoheterotrophy"
"296","791822","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"297","790312","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;nitrate_reduction;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"298","772619","aerobic_chemoheterotrophy;human_gut;human_associated;mammal_gut;animal_parasites_or_symbionts;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;plastic_degradation;lactate_oxidation;chemoheterotrophy"
"299","772620","aerobic_chemoheterotrophy;human_pathogens_nosocomia;human_pathogens_all;human_gut;human_associated;mammal_gut;animal_parasites_or_symbionts;oil_bioremediation;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;plastic_degradation;lactate_oxidation;chemoheterotrophy"
"300","791314","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"301",NA,"aerobic_chemoheterotrophy;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"302","794598","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;chemoheterotrophy"
"303","795207","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"304","772622","manganese_oxidation;aerobic_chemoheterotrophy;human_pathogens_pneumonia;human_pathogens_nosocomia;human_pathogens_all;human_associated;animal_parasites_or_symbionts;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;plastic_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"305",NA,"aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"306","794039","aerobic_chemoheterotrophy;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;chemoheterotrophy"
"307",NA,NA
"308","790645","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;chemoheterotrophy"
"309","789231","aerobic_chemoheterotrophy;human_pathogens_nosocomia;human_pathogens_all;human_associated;animal_parasites_or_symbionts;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"310","55693","fermentation;aerobic_chemoheterotrophy;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;plastic_degradation;ureolysis;chemoheterotrophy"
"311","69398","aerobic_chemoheterotrophy;human_gut;human_associated;mammal_gut;animal_parasites_or_symbionts;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;chemoheterotrophy"
"312","772624","aerobic_chemoheterotrophy;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;chemoheterotrophy"
"313","797570","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"314","789232","aerobic_chemoheterotrophy;human_pathogens_all;human_associated;animal_parasites_or_symbionts;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;plastic_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"315","69416","aerobic_chemoheterotrophy;aromatic_compound_degradation;acetate_oxidation;chemoheterotrophy"
"316","793560","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;ureolysis;lactate_oxidation;chemoheterotrophy"
"317","794674","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"318","794040","gelatin_degradation;aerobic_chemoheterotrophy;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"319",NA,NA
"320","790967","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"321","791602","fermentation;aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;lactate_oxidation;chemoheterotrophy"
"322","772626","aerobic_chemoheterotrophy;human_pathogens_nosocomia;human_pathogens_all;human_associated;animal_parasites_or_symbionts;oil_bioremediation;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;nitrate_reduction;chemoheterotrophy"
"323",NA,"aerobic_chemoheterotrophy;chemoheterotrophy"
"324","772627","aerobic_chemoheterotrophy;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"325","792594","aerobic_chemoheterotrophy;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"326",NA,"aerobic_chemoheterotrophy;human_pathogens_nosocomia;human_pathogens_all;human_associated;chemoheterotrophy"
"327","787892","fermentation;aerobic_chemoheterotrophy;human_pathogens_all;aromatic_compound_degradation;ureolysis;chemoheterotrophy"
"328","772630","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;chemoheterotrophy"
"329","772631","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;chemoheterotrophy"
"330","772632","aerobic_chemoheterotrophy;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;lactate_oxidation;chemoheterotrophy"
"331","772633","aerobic_chemoheterotrophy;human_pathogens_nosocomia;human_pathogens_all;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;plastic_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"332","792593","aerobic_chemoheterotrophy;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;chemoheterotrophy"
"333","787907","gelatin_degradation;aerobic_chemoheterotrophy;oil_bioremediation;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;chemoheterotrophy"
"334","794041","aerobic_chemoheterotrophy;human_associated;aromatic_compound_degradation;aliphatic_non_methane_hydrocarbon_degradation;hydrocarbon_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"335","797894","aerobic_chemoheterotrophy;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"336","772646","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"337","772647","aerobic_chemoheterotrophy;chemoheterotrophy"
"338","790830","fermentation;chemoheterotrophy"
"339","772648","aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"340","792410","fermentation;lactic_acid_fermentation;ureolysis;chemoheterotrophy;anaerobic_chemoheterotrophy;obligate_anaerobes"
"341","787107","aerobic_chemoheterotrophy;acetate_oxidation;chemoheterotrophy"
"342","792956","gelatin_degradation;nitrate_reduction;chemoheterotrophy"
"343","790313","gelatin_degradation;acetate_oxidation;lactate_oxidation;chemoheterotrophy"
"344","796289","gelatin_degradation;fermentation;chemoheterotrophy"
"345","794360","gelatin_degradation;nitrate_reduction;ureolysis;chemoheterotrophy"
"346","18909","fermentation;aerobic_chemoheterotrophy;chemoheterotrophy"
"347","788420","aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"348","790702","gelatin_degradation;aerobic_chemoheterotrophy;aromatic_compound_degradation;chemoheterotrophy"
"349","788027","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"350","793367","aerobic_chemoheterotrophy;chemoheterotrophy"
"351","788028","aerobic_chemoheterotrophy;chemoheterotrophy"
"352","788029","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"353","788030","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"354","788031","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"355","790163","gelatin_degradation;cellulolysis;aerobic_chemoheterotrophy;chemoheterotrophy"
"356","788032","aerobic_chemoheterotrophy;chemoheterotrophy"
"357","789124","gelatin_degradation;fermentation;aerobic_chemoheterotrophy;chemoheterotrophy"
"358","788033","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"359","789684","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy"
"360","790164","aerobic_chemoheterotrophy;chemoheterotrophy"
"361","788034","gelatin_degradation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy"
"362",NA,NA
"363","772655","aerobic_chemoheterotrophy;chemoheterotrophy"
"364","792899","gelatin_degradation;aerobic_chemoheterotrophy;nitrate_reduction;chemoheterotrophy"
"365","785564","aerobic_chemoheterotrophy;invertebrate_parasites;animal_parasites_or_symbionts;chemoheterotrophy"
"366","789189","gelatin_degradation;aerobic_chemoheterotrophy;chemoheterotrophy;sulfur_reduction"
"367","785423","fermentation;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy;collagen_degradation"
"368","789685","fermentation;aerobic_chemoheterotrophy;ureolysis;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"369","783275","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;nitrate_reduction;ureolysis;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"370","783276","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;nitrate_reduction;ureolysis;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"371","772658","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"372","783277","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;nitrate_reduction;ureolysis;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"373","783280","fermentation;aerobic_chemoheterotrophy;human_associated;animal_parasites_or_symbionts;nitrate_reduction;ureolysis;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"374","783281","fermentation;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy"
"375","783282","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;nitrate_reduction;fumarate_respiration;ureolysis;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"376","783283","fermentation;animal_parasites_or_symbionts;nitrate_reduction;ureolysis;chemoheterotrophy"
"377","783284","fermentation;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy"
"378","772660","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;nitrate_reduction;ureolysis;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"379","783285","fermentation;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy"
"380",NA,"fermentation;aerobic_chemoheterotrophy;nitrate_reduction;ureolysis;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"381","772661","fermentation;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy"
"382",NA,"fermentation;animal_parasites_or_symbionts;nitrate_reduction;chemoheterotrophy"
"383","783286","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;nitrate_reduction;ureolysis;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
"384","783287","fermentation;aerobic_chemoheterotrophy;animal_parasites_or_symbionts;nitrate_reduction;fumarate_respiration;chemoheterotrophy;anaerobic_chemoheterotrophy;facultative_anaerobes"
