"Genus","Species","Subspecies","Strain","Status","LPSN_ID","address"
"Streptococcus","oralis","tigurinus","AZ_3a; CCOS 600; DSM 24864; NCTC 13783","VP; comb. nov.; validly published under the ICNP; correct name",794815,"https://lpsn.dsmz.de/subspecies/streptococcus-oralis-tigurinus"
"Streptococcus","oricebi",NA,"DSM 100101; JCM 30719; M8","VP; sp. nov.; validly published under the ICNP; correct name",793813,"https://lpsn.dsmz.de/species/streptococcus-oricebi"
"Streptococcus","oriloxodontae",NA,"DSM 27377; JCM 19285; NUM 2101","VP; sp. nov.; validly published under the ICNP; correct name",792340,"https://lpsn.dsmz.de/species/streptococcus-oriloxodontae"
"Streptococcus","orisasini",NA,"DSM 25193; JCM 17942; NUM 1801","VP; sp. nov.; validly published under the ICNP; correct name",790987,"https://lpsn.dsmz.de/species/streptococcus-orisasini"
"Streptococcus","oriscaviae",NA,"CCUG 75141; HKU75; JCM 34455","VL; sp. nov.; validly published under the ICNP; correct name",36226,"https://lpsn.dsmz.de/species/streptococcus-oriscaviae"
"Streptococcus","orisratti",NA,"A63; ATCC 700640; CCUG 43577; CIP 106965; DSM 15617","VP; sp. nov.; validly published under the ICNP; correct name",781365,"https://lpsn.dsmz.de/species/streptococcus-orisratti"
"Streptococcus","orisuis",NA,"DSM 18307; JCM 14035; NUM 1001","VP; sp. nov.; validly published under the ICNP; correct name",781314,"https://lpsn.dsmz.de/species/streptococcus-orisuis"
"Streptococcus","ovis",NA,"CCUG 39485; CIP 107097; DSM 16829; LMG 19174; S369/98/1","VP; sp. nov.; validly published under the ICNP; correct name",781366,"https://lpsn.dsmz.de/species/streptococcus-ovis"
"Streptococcus","ovuberis",NA,"CCUG 69612; CECT 9179; VB15-00779","VP; sp. nov.; validly published under the ICNP; correct name",796216,"https://lpsn.dsmz.de/species/streptococcus-ovuberis"
"Streptococcus","pacificus",NA,"CCUG 74655; CSL7591; DSM 111148; NCTC 14455","VP; sp. nov.; validly published under the ICNP; correct name",19573,"https://lpsn.dsmz.de/species/streptococcus-pacificus"
"Streptococcus","panodentis",NA,"DSM 29921; JCM 30579; TKU 50","VL; sp. nov.; validly published under the ICNP; correct name",793690,"https://lpsn.dsmz.de/species/streptococcus-panodentis"
"Streptococcus","pantholopis",NA,"CGMCC 1.15667; DSM 102135; TA 26","VP; sp. nov.; validly published under the ICNP; correct name",794568,"https://lpsn.dsmz.de/species/streptococcus-pantholopis"
"Streptococcus","parapneumoniae",NA,"JCM 36068; KCTC 21228; SP 4011","VL; sp. nov.; validly published under the ICNP; correct name",57194,"https://lpsn.dsmz.de/species/streptococcus-parapneumoniae"
"Streptococcus","parasalivarius",NA,"778-2; CCTCC AB 2023257; JCM 36614; LMG 33413","VL; sp. nov.; validly published under the ICNP; correct name",57224,"https://lpsn.dsmz.de/species/streptococcus-parasalivarius"
